fpr,tpr
0.63118,0.94332
0.63306,0.94378
0.63614,0.94418
0.6383,0.94458
0.6405,0.945
0.64288,0.94544
0.6457,0.94594
0.64806,0.94628
0.65056,0.94674
0.65246,0.9473
0.6548,0.94772
0.6559,0.94818
0.65806,0.94864
0.66012,0.94908
0.66222,0.94946
0.66434,0.94988
0.66648,0.95034
0.66786,0.95082
0.66964,0.95138
0.67176,0.9518
0.6736,0.95222
0.67612,0.95268
0.678,0.95314
0.6794,0.95358
0.68114,0.95414
0.68364,0.95452
0.68578,0.955
0.68794,0.9555
0.69034,0.95604
0.6928,0.9565
0.69494,0.95692
0.69722,0.95738
0.6991,0.9578
0.70154,0.95814
0.70324,0.9586
0.70506,0.9591
0.7067,0.95952
0.70806,0.95996
0.71026,0.96048
0.7135,0.96098
0.71616,0.96142
0.71846,0.96182
0.721,0.96234
0.72284,0.96272
0.72528,0.96324
0.72826,0.96374
0.73092,0.96412
0.73392,0.96458
0.73638,0.96502
0.73762,0.96542
0.73976,0.96588
0.7425,0.96636
0.74438,0.96688
0.74734,0.96722
0.74976,0.96764
0.75216,0.96798
0.75506,0.96838
0.7575,0.96884
0.75952,0.9693
0.76214,0.96976
0.76422,0.97016
0.76694,0.97056
0.76894,0.97094
0.77096,0.97134
0.7738,0.97172
0.77574,0.9722
0.77956,0.97268
0.78202,0.9732
0.78502,0.97366
0.7874,0.9741
0.79112,0.97454
0.79394,0.97494
0.79558,0.97536
0.79876,0.97576
0.80232,0.97624
0.80456,0.9767
0.80702,0.97708
0.80986,0.97752
0.81216,0.97798
0.81444,0.97834
0.81702,0.97876
0.82032,0.97922
0.82344,0.9797
0.8261,0.98018
0.82912,0.98064
0.83182,0.98112
0.83434,0.9815
0.8379,0.98188
0.84082,0.9823
0.84344,0.98274
0.84652,0.98312
0.84862,0.98354
0.85156,0.98402
0.85514,0.98454
0.85722,0.98498
0.85962,0.98544
0.86274,0.98586
0.8649,0.9863
0.86704,0.98674
0.87002,0.98718
0.87272,0.98764
0.87602,0.98812
0.87968,0.98854
0.88394,0.98908
0.88704,0.9895
0.89066,0.98992
0.89318,0.99036
0.89596,0.9908
0.9001,0.99118
0.90312,0.99162
0.90814,0.99202
0.9113,0.99244
0.9158,0.99298
0.91864,0.99344
0.92344,0.99388
0.92712,0.99436
0.93256,0.99478
0.93734,0.99516
0.94196,0.99566
0.94686,0.99608
0.95058,0.99654
0.95376,0.997
0.9597,0.99738
0.96546,0.99778
0.97092,0.9982
0.97696,0.99862
0.98288,0.99902
0.98808,0.99946
0.99766,0.99986
