fpr,tpr
0.26194,0.88016
0.26294,0.88082
0.26398,0.88132
0.26506,0.88192
0.26614,0.88244
0.26732,0.88312
0.2687,0.88366
0.2699,0.88432
0.27094,0.88492
0.27176,0.88562
0.27304,0.88622
0.27408,0.88688
0.27534,0.8875
0.27626,0.88812
0.27734,0.88872
0.27848,0.88932
0.28004,0.88994
0.28092,0.8906
0.28238,0.89108
0.28326,0.8916
0.2844,0.8922
0.28546,0.89272
0.28702,0.89326
0.28806,0.89382
0.2889,0.89438
0.2902,0.89494
0.2914,0.8955
0.29226,0.89606
0.2937,0.89664
0.29472,0.89714
0.29626,0.89806
0.29754,0.89856
0.29938,0.89914
0.30074,0.89964
0.3019,0.90028
0.30342,0.90082
0.30476,0.90134
0.3062,0.90186
0.3075,0.90252
0.3088,0.90326
0.31,0.90378
0.31138,0.90436
0.31246,0.90496
0.31388,0.90548
0.3149,0.9061
0.31622,0.90664
0.3173,0.90716
0.31882,0.90772
0.32028,0.90818
0.32142,0.90872
0.3227,0.90926
0.32402,0.90972
0.3249,0.9104
0.32632,0.91094
0.32806,0.91146
0.32962,0.91194
0.33062,0.91268
0.33234,0.91318
0.33416,0.91374
0.3363,0.9144
0.33724,0.915
0.33944,0.91552
0.3403,0.9161
0.34188,0.91674
0.34314,0.91736
0.34442,0.918
0.34584,0.91852
0.34716,0.919
0.34846,0.91946
0.34998,0.91996
0.35182,0.92046
0.3533,0.92102
0.35554,0.92146
0.35702,0.922
0.35838,0.92272
0.36,0.9233
0.36158,0.9238
0.3632,0.92426
0.36536,0.92468
0.36666,0.9252
0.36844,0.92568
0.36976,0.92624
0.3715,0.9267
0.3731,0.92718
0.37432,0.9277
0.3765,0.9282
0.37786,0.92872
0.37956,0.92926
0.38162,0.92972
0.38412,0.93018
0.386,0.93066
0.38746,0.93118
0.38902,0.93172
0.39124,0.93218
0.39316,0.9326
0.39488,0.93312
0.39706,0.9336
0.3987,0.93408
0.40078,0.93458
0.40308,0.93512
0.40512,0.93558
0.40784,0.93604
0.40968,0.93654
0.41212,0.93708
0.41394,0.9376
0.41592,0.9382
0.41784,0.93868
0.41954,0.93922
0.42122,0.93966
0.42382,0.94016
0.42636,0.94062
0.42786,0.94112
0.43072,0.9417
0.43328,0.94222
0.43524,0.94268
0.43756,0.94314
0.4398,0.94364
0.44134,0.94418
0.4433,0.94464
0.4453,0.94504
0.44742,0.94548
0.45028,0.946
0.45254,0.94654
0.45482,0.94696
0.45724,0.94744
0.45934,0.94786
0.4619,0.94828
0.46392,0.94878
0.4663,0.9493
0.46852,0.94978
0.4718,0.9503
0.4739,0.95076
0.47692,0.95126
0.4797,0.95168
0.48296,0.95208
0.48544,0.95254
0.48724,0.95296
0.48946,0.95346
0.49272,0.9539
0.49584,0.95442
0.4986,0.95486
0.50182,0.95548
0.50518,0.95592
0.50792,0.95638
0.51032,0.95682
0.51214,0.9573
0.51608,0.9577
0.51864,0.95818
0.52134,0.95862
0.52438,0.9591
0.52836,0.95962
0.53046,0.96008
0.53368,0.9605
0.53696,0.96088
0.53982,0.96136
0.54332,0.96182
0.5456,0.96224
0.54808,0.96268
0.5516,0.96318
0.55392,0.96362
0.55676,0.96408
0.56012,0.96454
0.56312,0.96506
0.56652,0.96552
0.56968,0.966
0.57222,0.9665
0.57614,0.96694
0.57982,0.96736
0.58346,0.96784
0.58668,0.96824
0.58906,0.96864
0.5932,0.96908
0.5964,0.9696
0.60002,0.97008
0.60436,0.9705
0.60862,0.971
0.61164,0.97142
0.61514,0.97188
0.61976,0.97234
0.62346,0.97274
0.62686,0.97316
0.63058,0.97358
0.63454,0.97406
0.63764,0.97444
0.64072,0.97494
0.64394,0.97538
0.64782,0.97584
0.6537,0.97624
0.6591,0.97668
0.66378,0.9771
0.66714,0.9776
0.67162,0.97808
0.67916,0.9786
0.68446,0.97904
0.68812,0.97952
0.69332,0.97992
0.69632,0.9803
